"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","51.50","51.89","52.16","51.46","16.32M","-0.46%"
"12/30/2021","51.74","51.92","52.14","51.65","18.36M","-0.17%"
"12/29/2021","51.83","51.81","52.14","51.66","14.17M","0.14%"
"12/28/2021","51.76","51.93","52.12","51.63","19.29M","-0.35%"
"12/27/2021","51.94","51.35","52.06","51.30","20.99M","1.23%"
"12/23/2021","51.31","51.08","51.73","51.05","25.20M","0.67%"
"12/22/2021","50.97","50.64","51.02","50.21","23.31M","0.39%"
"12/21/2021","50.77","49.94","50.84","49.94","31.96M","2.36%"
"12/20/2021","49.60","49.91","50.13","48.96","30.14M","-2.02%"
"12/17/2021","50.62","50.59","51.02","50.01","50.19M","-0.41%"
"12/16/2021","50.83","50.74","51.40","50.58","33.13M","0.32%"
"12/15/2021","50.67","49.87","50.78","49.33","32.59M","1.95%"
"12/14/2021","49.70","49.82","50.27","49.32","34.12M","-0.60%"
"12/13/2021","50.00","50.85","51.02","49.95","35.73M","-1.17%"
"12/10/2021","50.59","50.84","51.07","50.05","23.78M","0.22%"
"12/09/2021","50.48","51.30","51.58","50.43","31.69M","-2.45%"
"12/08/2021","51.75","52.57","52.88","51.38","37.14M","-1.56%"
"12/07/2021","52.57","54.66","55.00","52.21","91.73M","3.10%"
"12/06/2021","50.99","49.48","51.21","49.18","40.34M","3.53%"
"12/03/2021","49.25","49.67","50.06","48.76","32.22M","-0.51%"
"12/02/2021","49.50","48.61","49.79","48.33","37.24M","1.85%"
"12/01/2021","48.60","49.84","50.31","48.52","35.13M","-1.22%"
"11/30/2021","49.20","49.50","50.40","48.68","49.46M","-1.60%"
"11/29/2021","50.00","49.30","50.13","48.72","31.48M","2.50%"
"11/26/2021","48.78","48.90","49.17","48.12","25.27M","-1.97%"
"11/24/2021","49.76","48.85","49.78","48.63","26.04M","1.34%"
"11/23/2021","49.10","50.16","50.45","48.64","44.71M","-1.46%"
"11/22/2021","49.83","49.55","50.85","49.41","33.39M","0.63%"
"11/19/2021","49.52","49.60","49.73","49.24","27.61M","-0.32%"
"11/18/2021","49.68","50.24","50.24","48.97","30.67M","-1.09%"
"11/17/2021","50.23","50.60","50.94","49.98","23.55M","-0.75%"
"11/16/2021","50.61","50.37","51.15","50.34","30.93M","0.58%"
"11/15/2021","50.32","50.41","50.63","50.12","24.70M","0.02%"
"11/12/2021","50.31","50.60","50.90","50.18","23.88M","-0.44%"
"11/11/2021","50.53","51.01","51.07","50.41","25.42M","-0.45%"
"11/10/2021","50.76","50.97","51.39","50.71","25.04M","-0.86%"
"11/09/2021","51.20","51.54","51.77","50.76","22.51M","-0.68%"
"11/08/2021","51.55","51.46","51.99","51.06","31.65M","1.24%"
"11/05/2021","50.92","50.55","51.58","50.54","36.82M","1.21%"
"11/04/2021","50.31","50.24","50.35","49.73","24.81M","-0.16%"
"11/03/2021","50.39","49.93","50.45","49.71","23.96M","1.06%"
"11/02/2021","49.86","49.61","49.90","49.23","27.19M","0.63%"
"11/01/2021","49.55","49.40","49.60","49.00","28.01M","1.12%"
"10/29/2021","49.00","48.10","49.28","47.92","42.30M","1.91%"
"10/28/2021","48.08","48.14","48.36","47.88","31.32M","0.40%"
"10/27/2021","47.89","48.52","48.82","47.87","41.08M","-0.81%"
"10/26/2021","48.28","49.40","49.44","47.93","68.41M","-2.29%"
"10/25/2021","49.41","49.83","50.07","49.31","43.18M","-0.10%"
"10/22/2021","49.46","50.39","50.55","49.14","109.97M","-11.68%"
"10/21/2021","56.00","54.92","56.07","54.83","38.39M","1.14%"
"10/20/2021","55.37","55.25","55.49","55.08","16.85M","0.29%"
"10/19/2021","55.21","54.63","55.22","54.37","18.39M","1.36%"
"10/18/2021","54.47","54.19","54.56","53.72","22.41M","0.02%"
"10/15/2021","54.46","54.20","54.49","53.81","25.23M","1.04%"
"10/14/2021","53.90","52.90","54.00","52.73","26.59M","3.14%"
"10/13/2021","52.26","52.38","52.58","51.87","18.53M","0.17%"
"10/12/2021","52.17","53.57","53.72","52.01","32.78M","-2.38%"
"10/11/2021","53.44","53.81","54.41","53.42","14.40M","-0.69%"
"10/08/2021","53.81","54.55","54.58","53.70","16.07M","-0.68%"
"10/07/2021","54.18","54.32","54.99","54.12","20.70M","0.37%"
"10/06/2021","53.98","53.48","54.07","53.07","20.06M","0.06%"
"10/05/2021","53.95","53.55","54.34","53.47","18.13M","0.90%"
"10/04/2021","53.47","53.93","54.33","53.08","27.35M","-0.72%"
"10/01/2021","53.86","53.65","54.10","53.05","19.90M","1.09%"
"09/30/2021","53.28","53.76","53.98","53.26","20.53M","-0.39%"
"09/29/2021","53.49","54.00","54.05","53.18","20.51M","-0.94%"
"09/28/2021","54.00","54.18","54.59","53.96","24.69M","-1.21%"
"09/27/2021","54.66","53.94","54.87","53.82","13.90M","0.81%"
"09/24/2021","54.22","53.78","54.42","53.73","12.98M","0.35%"
"09/23/2021","54.03","53.75","54.30","53.60","16.47M","0.99%"
"09/22/2021","53.50","53.40","53.87","53.00","18.59M","1.19%"
"09/21/2021","52.87","53.20","53.45","52.83","17.97M","-0.21%"
"09/20/2021","52.98","53.21","53.50","52.32","35.05M","-2.36%"
"09/17/2021","54.26","54.59","54.59","53.67","35.36M","-1.04%"
"09/16/2021","54.83","54.86","54.95","54.24","19.86M","-0.53%"
"09/15/2021","55.12","54.67","55.15","54.42","18.80M","1.10%"
"09/14/2021","54.52","55.37","55.44","54.27","22.07M","-0.85%"
"09/13/2021","54.99","54.61","55.49","54.41","22.64M","2.14%"
"09/10/2021","53.84","53.85","54.98","53.81","20.32M","0.82%"
"09/09/2021","53.40","53.66","53.89","53.34","13.50M","-0.32%"
"09/08/2021","53.57","53.73","53.92","52.99","18.24M","-0.15%"
"09/07/2021","53.65","53.57","53.95","53.44","13.91M","0.26%"
"09/03/2021","53.51","53.44","54.08","53.32","13.47M","-0.41%"
"09/02/2021","53.73","53.80","53.89","53.35","15.88M","0.11%"
"09/01/2021","53.67","54.11","54.15","53.53","18.62M","-0.72%"
"08/31/2021","54.06","54.44","54.50","53.66","22.35M","0.22%"
"08/30/2021","53.94","54.26","54.87","53.76","14.58M","0.09%"
