Date,Price,Open,High,Low,Vol.,Change %,Price_transformed
2018-01-02,46.85,46.38,46.9,46.21,23.37M,1.49%,786.1678036767784
2018-01-03,45.26,45.47,46.21,43.65,116.48M,-3.39%,736.2117713651909
2018-01-04,44.43,43.52,44.65,42.69,89.21M,-1.83%,710.7515537604515
2018-01-05,44.74,44.43,45.15,43.9,41.82M,0.70%,720.211160665576
2018-01-08,44.74,44.27,44.84,43.96,33.73M,0.00%,720.211160665576
2018-01-09,43.62,44.7,44.84,43.49,44.28M,-2.50%,686.3141720295032
2018-01-10,42.5,43.33,43.6,42.44,45.73M,-2.57%,653.1916870601008
2018-01-11,43.41,42.8,43.58,42.45,35.37M,2.14%,680.0446507452933
2018-01-12,43.24,43.45,43.6,43.01,29.97M,-0.39%,674.9892758507108
2018-01-16,43.14,43.55,43.79,42.88,38.37M,-0.23%,672.0238679987863
2018-01-17,44.39,43.55,44.45,43.51,32.37M,2.90%,709.5352724980288
2018-01-18,44.48,44.4,44.73,44.17,26.83M,0.20%,712.2732919863417
2018-01-19,44.82,44.62,44.89,44.25,25.78M,0.76%,722.6619586827856
2018-01-22,45.75,44.8,45.79,44.79,27.71M,2.07%,751.4414934454771
2018-01-23,46.06,45.81,46.09,45.63,22.14M,0.68%,761.1528309765995
2018-01-24,45.51,45.9,46.13,44.96,32.46M,-1.19%,743.9635931030365
2018-01-25,45.3,45.88,46.37,45.17,36.76M,-0.46%,737.4494797441106
2018-01-26,50.08,48.38,50.15,48.12,86.92M,10.55%,892.417471616262
2018-01-29,49.98,49.6,50.85,49.37,46.30M,-0.20%,889.0324896680312
2018-01-30,48.79,49.48,50.06,48.74,32.81M,-2.38%,849.2190541502024
2018-01-31,48.14,49.23,49.25,47.56,41.62M,-1.33%,827.8372007044537
2018-02-01,47.65,47.7,48.47,47.45,28.84M,-1.02%,811.8893116382225
2018-02-02,46.15,47.32,47.79,46.1,28.66M,-3.15%,763.9833067381978
2018-02-05,44.52,46.35,47.26,44.5,47.87M,-3.53%,713.4917917773738
2018-02-06,44.91,44.02,44.93,43.03,58.15M,0.88%,725.4238169427717
2018-02-07,45.2,44.58,46.3,44.34,37.51M,0.65%,734.3570542877577
2018-02-08,42.75,45.28,45.42,42.74,43.15M,-5.42%,660.517850886402
2018-02-09,43.95,43.5,44.28,42.04,49.30M,2.81%,696.2212845331745
2018-02-12,44.83,44.15,45.16,44.09,28.38M,2.00%,722.9685855390804
2018-02-13,44.46,44.59,44.77,44.26,19.52M,-0.83%,711.6644118192975
2018-02-14,45.38,44.07,45.51,44.04,19.92M,2.07%,739.9278488968372
2018-02-15,45.92,45.88,45.99,44.95,23.54M,1.19%,756.7597557151362
2018-02-16,45.56,45.81,46.59,45.51,21.48M,-0.78%,745.5185692486245
2018-02-20,46.32,45.46,46.71,45.39,25.51M,1.67%,769.343328680099
2018-02-21,45.94,46.67,47.06,45.92,27.53M,-0.82%,757.3866008615901
2018-02-22,45.8,46.14,46.56,45.62,16.95M,-0.30%,753.003845044877
2018-02-23,47.73,46.34,47.79,46.3,26.04M,4.21%,814.4830157836018
2018-02-26,49.11,48.2,49.13,48.1,26.99M,2.89%,859.8402852357982
2018-02-27,49.91,49.37,50.9,49.31,43.62M,1.63%,886.6666263253345
2018-02-28,49.29,50.18,50.34,49.28,35.54M,-1.24%,865.8421875470036
2018-03-01,47.84,49.5,49.72,47.47,36.33M,-2.94%,818.0557531977599
2018-03-02,48.98,47.2,49.05,46.96,33.31M,2.38%,855.5178723250713
2018-03-05,49.75,48.57,49.8,48.04,30.83M,1.57%,881.270148207315
2018-03-06,50.71,50.16,51.33,50.15,39.13M,1.93%,913.8828413360557
2018-03-07,51.32,50.18,51.48,50.1,31.80M,1.20%,934.8967991261925
2018-03-08,50.74,51.79,52.08,50.47,29.48M,-1.13%,914.9110254579575
2018-03-09,52.19,51.27,52.3,51.0,32.73M,2.86%,965.2585590599771
2018-03-12,51.52,51.86,51.95,50.5,32.04M,-1.28%,941.8358407148332
2018-03-13,51.78,52.52,53.78,51.39,45.57M,0.50%,950.8929068339677
2018-03-14,51.86,52.06,52.17,51.31,24.99M,0.15%,953.6879517938166
2018-03-15,50.88,52.23,52.3,50.88,25.63M,-1.89%,919.7164547773124
2018-03-16,51.17,51.17,51.7,50.99,42.56M,0.57%,929.7084638821575
2018-03-19,50.83,50.74,51.23,49.93,31.12M,-0.66%,917.9988618348426
2018-03-20,51.55,50.88,51.81,50.85,22.21M,1.42%,942.8787921904665
2018-03-21,51.56,51.55,52.17,51.17,23.24M,0.02%,943.226564126535
2018-03-22,50.83,50.74,51.96,50.6,30.92M,-1.42%,917.9988618348426
2018-03-23,49.36,50.59,50.99,49.36,37.68M,-2.89%,868.1815980172894
2018-03-26,52.48,50.74,52.49,50.32,39.31M,6.32%,975.481191127769
2018-03-27,51.19,53.01,53.25,50.78,38.78M,-2.46%,930.3994520415349
2018-03-28,49.6,50.5,50.7,49.01,37.97M,-3.11%,876.2251177751882
2018-03-29,52.08,49.98,52.08,49.87,45.27M,5.00%,961.3943496762971
2018-04-02,48.92,51.69,52.04,47.29,67.19M,-6.07%,853.5263911889873
2018-04-03,49.75,49.0,49.96,48.41,39.43M,1.70%,881.270148207315
2018-04-04,49.99,48.1,50.16,48.01,30.37M,0.48%,889.3707137918273
2018-04-05,50.38,50.01,50.72,49.97,25.12M,0.78%,902.6089507994307
